patcnty1,serv_y,gender,Encounters,AnnotationCode,AnnotationDesc
Alameda,2023,Female,54339,,
Alameda,2023,Male,45453,,
Alameda,2023,Unknown/Invalid/Blank,21,,
Alpine,2023,Female,15,,
Alpine,2023,Male,25,,
Amador,2023,Female,1775,,
Amador,2023,Male,2028,,
Butte,2023,Female,12354,,
Butte,2023,Male,10334,,
Butte,2023,Unknown/Invalid/Blank,7,,
Calaveras,2023,Female,3041,,
Calaveras,2023,Male,2677,,
Colusa,2023,Female,918,,
Colusa,2023,Male,829,,
Contra Costa,2023,Female,31957,,
Contra Costa,2023,Male,26475,,
Contra Costa,2023,Unknown/Invalid/Blank,9,,
Del Norte,2023,Female,905,,
Del Norte,2023,Male,848,,
Del Norte,2023,Unknown/Invalid/Blank,1,,
El Dorado,2023,Female,9082,,
El Dorado,2023,Male,7882,,
El Dorado,2023,Unknown/Invalid/Blank,1,,
Fresno,2023,Female,43113,,
Fresno,2023,Male,34983,,
Fresno,2023,Unknown/Invalid/Blank,6,,
Glenn,2023,Female,1540,,
Glenn,2023,Male,1263,,
Humboldt,2023,Female,8975,,
Humboldt,2023,Male,6481,,
Humboldt,2023,Unknown/Invalid/Blank,3,,
Imperial,2023,Female,6710,,
Imperial,2023,Male,5812,,
Imperial,2023,Unknown/Invalid/Blank,1,,
Invalid/Blank,2023,Female,4130,,
Invalid/Blank,2023,Male,3904,,
Invalid/Blank,2023,Unknown/Invalid/Blank,1,,
Inyo,2023,Female,1001,,
Inyo,2023,Male,856,,
Kern,2023,Female,25898,,
Kern,2023,Male,22471,,
Kern,2023,Unknown/Invalid/Blank,5,,
Kings,2023,Female,5195,,
Kings,2023,Male,5014,,
Kings,2023,Unknown/Invalid/Blank,3,,
Lake,2023,Female,4519,,
Lake,2023,Male,3836,,
Lassen,2023,Female,529,,
Lassen,2023,Male,539,,
Los Angeles,2023,Female,278016,,
Los Angeles,2023,Male,220102,,
Los Angeles,2023,Unknown/Invalid/Blank,101,,
Madera,2023,Female,6232,,
Madera,2023,Male,5101,,
Madera,2023,Unknown/Invalid/Blank,1,,
Marin,2023,Female,10209,,
Marin,2023,Male,9035,,
Marin,2023,Unknown/Invalid/Blank,7,,
